CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
1.0	5.661453	10.318139	10.996509	0.426766	10.563407	6.433408	7.906939	12.581679	10.852383	10.677178	1.268278	6.390209	4.923653
1.0	2.238591	9.159103	9.28598	8.606853	8.09584	7.770104	7.799321	6.184645	5.335987	7.882824	10.695255	5.29187	10.653628
1.0	0.568713	10.412747	1.27976	9.80915	8.448132	3.346066	11.757636	11.577097	3.150083	9.550756	8.878296	9.449285	10.77228
1.0	7.90827	13.52695	2.139205	4.828015	10.072868	7.219059	0.318024	1.327974	10.095489	9.138728	5.265974	14.278481	12.880962
1.0	12.350569	1.745057	9.674024	13.2392	4.763277	9.838966	9.162547	8.91367	8.796844	8.653511	4.155687	3.230291	4.476358
2.0	14.227565	0.588603	3.319477	15.373935	5.149254	12.273607	10.378249	7.193798	6.449071	0.593626	8.9489	5.158544	8.345372
2.0	5.827338	9.940723	5.135246	10.18955	7.641623	5.891168	7.125592	2.223645	12.588416	2.544558	12.958126	3.519819	12.414195
2.0	5.330074	7.542211	11.051322	4.199014	7.233666	8.479016	3.451359	9.704797	10.813786	5.02113	11.643998	10.261332	3.268295
2.0	11.550014	3.531034	2.207289	3.217785	12.502203	14.775078	1.277104	1.480737	9.655161	11.515245	5.674143	9.612141	11.002066
2.0	8.38754	10.042513	9.651384	4.723124	15.835489	12.859642	2.413245	0.831786	0.433119	6.533177	12.914584	10.239426	3.134972
3.0	6.946374	1.272645	11.013082	6.39051	10.874247	3.714908	10.647127	11.175744	8.978887	11.401111	1.942935	10.746352	1.896077
3.0	8.451509	15.225797	3.533514	8.278997	8.449439	6.594631	6.524106	8.279429	3.396074	3.857551	6.164975	12.04725	6.196728
3.0	14.477543	3.603549	0.631858	1.601865	9.14553	2.901165	2.127309	4.221533	5.639079	11.902242	14.229486	12.191968	14.326874
3.0	8.236795	3.658587	7.507871	8.769402	12.620466	8.360892	11.903059	9.595629	5.387323	9.464647	8.907227	0.162492	2.425611
3.0	10.506378	0.828638	10.757105	0.662706	3.538786	11.624884	11.802699	2.404366	10.526725	1.32593	11.125401	11.802041	10.094339
4.0	1.35535	1.37237	5.544544	12.180224	7.818492	4.922523	1.582793	4.199362	28.31207	6.273676	4.882498	8.990731	8.565367
4.0	12.551002	6.678584	11.060736	10.359624	3.834495	10.450451	7.440907	7.682706	0.572828	5.618649	0.145953	11.862921	7.741143
