Mixture	Mono	Bcell	CD4	CD8	NK
Y-3674-cfDNA	60.948388698730284	5.794193234317151	8.526816299905217	10.99098451282401	13.739617254223349
Y-3685-cfDNA	51.98984743913733	6.8605598882040795	11.853383123976975	13.511626622241813	15.7845829264398
Y-3688-cfDNA	40.399466925364095	10.961496618924679	15.03470024937242	15.760152472116243	17.84418373422256
Y-3694-cfDNA	53.78932809288931	7.379055556520658	14.481059558102361	10.735372384639998	13.61518440784768
Y-3703-cfDNA	47.078735928456894	7.404444957035507	13.231910765899086	16.662528470853992	15.622379877754517
Y-3706-cfDNA	53.22135109796654	7.753269313887539	13.707974531779177	14.650261831221265	10.667143225145468
Y-3707-cfDNA	48.17155501776157	7.039419235849281	10.99367347545552	15.43556077411114	18.35979149682249
Y-3711-cfDNA	42.41302834039698	8.542984406378437	18.01925037529578	16.99207212608375	14.032664751845076
Y-3715-cfDNA	58.60502040457901	6.856407933412402	11.827205771496155	14.816301706477153	7.895064184035275
Y-3720-cfDNA	45.58089918013224	10.463767802839683	14.364429395290394	16.185788390912577	13.405115230825112
Y-3735-cfDNA	52.463726422320654	8.567137685976816	10.659851807992691	12.323627853895255	15.985656229814573
Y-3737-cfDNA	62.432670202882576	6.404620027032132	12.87198618123368	9.688767145019053	8.601956443832549
Y-3814-cfDNA	57.09615248437403	9.961992383967653	11.15561589669871	10.619409157222726	11.16683007773688
Y-3824-cfDNA	46.31970470195521	7.939577644755319	13.199768858554695	16.47208527996525	16.06886351476954
Y-3879-cfDNA	60.0195332437733	9.188544819643758	10.11822937942308	10.690015906071219	9.983676651088622
Y-3880-cfDNA	50.010171981184904	8.466273395117394	13.434797855142616	13.976824233464324	14.111932535090737
Y-3893-cfDNA	43.79529568354823	11.630038065108629	18.077715876944175	15.218791860372152	11.2781585140268
Y-3918-cfDNA	48.9508704747277	6.293150474455617	15.842008067074117	17.748968592161578	11.16500239158098
Y-3920-cfDNA	51.273396960382215	10.040432266254715	11.909114153014919	10.252623527699265	16.524433092648895
Y-3925-cfDNA	52.30052413717705	8.154467303007653	15.038591390710437	12.930352259846794	11.576064909258076
Y-3938-cfDNA	38.76056648169193	11.005827875833566	17.5734376995647	22.53985819721816	10.120309745691657
Y-3941-cfDNA	57.50221480845558	6.699395865547353	14.06750334023561	10.795119889583978	10.935766096177481
tot-66-cfDNA	59.75994192436114	6.814404235537238	12.192507563686846	11.05686857979569	10.176277696619074
tot-67-cfDNA	51.40165022510236	7.270121709211878	15.959467897683885	12.743230632054761	12.625529535947114
tot-72-cfDNA	51.92990659342601	7.241983426207053	16.306588466964644	11.636792156845779	12.884729356556516
tot-PH1-cfDNA	49.91463963082154	8.661635364843681	15.257921488080386	11.187249550872634	14.978553965381765
tot-PH16-cfDNA	40.18125866361258	8.6682992621521	16.981773280189707	14.415707784557553	19.752961009488065
tot-PH17-cfDNA	53.01936649308797	8.781899340079933	10.579020445331356	13.3603526667587	14.259361054742048
tot-PH4-cfDNA	49.05084999375824	7.002659738017318	14.710741772810469	13.706744619131703	15.529003876282266
tot-PH7-cfDNA	54.24127695017024	7.4088222128925905	13.559121331694316	12.216262405606802	12.574517099636054
tot-YUCLUE_20-3998-cfDNA	51.66472838603956	7.629681994374902	13.050473644192223	14.572330380382455	13.082785595010868
tot-YUMARS_15-3443-cfDNA	51.5488730192708	8.146957479724113	11.39728733474274	13.383804630371285	15.523077535891064
tot-YUMICRO_20-4006-cfDNA	33.567454980871894	7.305024218832777	20.75313680659815	23.199004975366964	15.175379018330212
tot-YUMOTE_17-3755-cfDNA	47.14171583927747	9.969002491731622	15.817204227082343	15.471219097625664	11.600858344282914
tot-YUPRAF_19-3925-cfDNA	51.59552951073816	7.562533550943466	16.669526497769965	13.216218935404145	10.95619150514427
tot-YUREIL_17-3713-cfDNA	61.856780126862375	7.296898423862973	11.611030076722193	9.568834177517072	9.666457195035386
tot-YUSTRAW_20-4002-cfDNA	57.367686020494105	6.810580386741832	9.538902939938964	12.396598182429816	13.8862324703953
tot-YUTAUR_19-3926-cfDNA	62.602856291730525	7.321648531003971	9.528873850248095	11.70342292323242	8.843198403784996
tot-YUTHEA_20-4000-cfDNA	47.042099190910676	10.618274616837832	13.500688299879512	16.009281892648975	12.82965599972302
tot-YUVIRTUE_20-4029-cfDNA	48.74443291768962	7.697956256949065	13.790474306748502	14.893107887877985	14.87402863073484
y4-YUEVRY_19_3935-cfDNA	49.04700941083471	9.5213558186121	12.65908410210003	13.308822449459287	15.46372821899389
y4-YUMORF_17_3654-cfDNA	35.26913341175341	7.4013335230525295	30.936989264229233	15.673446935515972	10.719096865448856
y4-YUPARK_18_3832-cfDNA	49.703722612375415	5.660545111443169	15.644641271812981	10.976292800862938	18.014798203505485
y4-YUPARK_18_3856-cfDNA	57.07955330714879	6.5599505809909875	14.76119000897524	10.748073069198371	10.85123303368661
